ID	Name	Latitude	Longitude	Glottocode
Beijing	Beijing	39.9385466	116.1172766	beij1234
Changsha	Changsha	28.85032	112.943344	chan1326
Chengdu	Chengdu	30.605768	103.970947	chen1267
Fuzhou	Fuzhou	26.08904	119.294243	fuzh1239
Guangzhou	Guangzhou	23.1253503	112.9476548	guan1279
Guixian	Guiyang	26.71691	106.638336	guiy1235
Haerbin	Haerbin	45.846595	126.551056	haer1234
Haikou	Haikou	20.043869	110.329399	hain1237
Hangzhou	Hangzhou	30.261316	120.0318057	hang1257
Hefei	Hefei	31.873593	117.223663	hefe1234
Huhehaote	Huhehaote	40.855526	111.743889	huhe1234
JianOu	Jian'ou	27.04237	118.307419	jian1240
Jinan	Jinan	36.690777	116.997299	jina1245
Kunming	Kunming	25.049711	102.72274	kunm1234
Lanzhou	Lanzhou	36.080515	103.838425	lanz1234
Meixian	Meixian	24.3522958	115.8903375	yuet1238
Nanchang	Nanchang	28.706609	115.857468	nanc1254
Nanjing	Nanjing	32.0989607	118.4575646	nanj1234
Nanning	Nanning	22.848716	108.366165	nann1239
Pingyao	Pingyao	37.1390706	111.9656111	ping1247
Qingdao	Qingdao	36.089393	120.379715	qing1240
Shanghai	Shanghai	31.222902	121.475372	shan1293
Shantou	Shantou	23.3372419	116.6068173	shan1244
Shexian	Shexian	30.589829	118.428268	shex1234
Suzhou	Suzhou	31.3280439	120.364116	suzh1234
Taibei	Taibei	25.0853403	121.4231642	taib1242
Taiyuan	Taiyuan	37.8632119	112.4024883	taiy1243
Taoyuan	Taoyuan	24.854549	120.9520006	taoy1234
Tianjin	Tianjin	39.186072	117.215424	tian1238
Tunxi	Tunxi	29.7201616	118.2294365	tunx1234
Wenzhou	Wenzhou	28.005496	120.701179	ouji1238
Wuhan	Wuhan	30.624086	114.305649	wuha1234
Wulumuqi	Wulumuqi	43.8216271	87.4226688	wulu1243
XiAn	Xi'an	34.228154	108.960571	xian1253
Xiamen	Xiamen	24.49421	118.08918	xiam1236
Xianggang	Xianggang	22.422645	114.098396	xian1255
Xiangtan	Xiangtan	27.8482649	112.7688127	xian1254
Xining	Xining	36.671283	101.776886	xini1234
Yinchuan	Yinchuan	38.546662	106.240082	yinc1239
Zhengzhou	Zhengzhou	34.807715	113.639374	zhen1241
